"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181231,2018-12-31,001602,CBT ,00,001 ,  444401,  145273,  146427,  104004,  158855,  149737,  408132,  400168,   36269,   44233,  306726,  131736,  130652,   52357,   96300,   95570,  280393,  278579,   26333,   28147,  137675,   41590,   43828,   23594,   62555,   54167,  127739,  121589,    9936,   16086,   16617,    2750,   13972,     919,    9045,    1820,   12714,   16711,    3903,     -94,  100.0,   32.7,   32.9,   23.4,   35.7,   33.7,   91.8,   90.0,    8.2,   10.0,  100.0,   42.9,   42.6,   17.1,   31.4,   31.2,   91.4,   90.8,    8.6,    9.2,  100.0,   30.2,   31.8,   17.1,   45.4,   39.3,   92.8,   88.3,    7.2,   11.7,    388,    122,    120,    117,     91,    109,    284,    286,    371,    125,    114,     67,     81,     94,    241,    240,    229,     62,     60,     50,     53,     87,    148,    169,    11.9,    10.9,    20.8,    20.4,    10.4,    10.1,    17.7,    17.2,    12.1,    14.9,    20.8,    24.6,    11.5,    14.0,    19.4,    23.0,    26.3,    17.8,    37.5,    29.5,    26.2,    16.2,    36.1,    25.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181224,2018-12-24,001602,CBT ,00,001 ,  427784,  142523,  132455,  103085,  149810,  147917,  395418,  383457,   32366,   44327,  291283,  130061,  118070,   49315,   89500,   95724,  268876,  263109,   22407,   28174,  136501,   40585,   42508,   25647,   60310,   52193,  126542,  120348,    9959,   16153,   -5053,   -3437,    4089,   -7154,    5936,   -3176,   -4655,   -6241,    -398,    1188,  100.0,   33.3,   31.0,   24.1,   35.0,   34.6,   92.4,   89.6,    7.6,   10.4,  100.0,   44.7,   40.5,   16.9,   30.7,   32.9,   92.3,   90.3,    7.7,    9.7,  100.0,   29.7,   31.1,   18.8,   44.2,   38.2,   92.7,   88.2,    7.3,   11.8,    376,    119,    108,    103,     91,    112,    276,    269,    361,    126,    100,     58,     79,     98,    234,    228,    223,     60,     55,     45,     52,     88,    144,    161,    12.3,    10.9,    20.9,    20.3,    11.2,    10.3,    18.3,    17.5,    11.5,    15.4,    20.7,    25.7,    10.9,    14.5,    19.0,    24.1,    24.8,    17.7,    36.5,    29.2,    24.7,    16.1,    35.1,    24.4,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181218,2018-12-18,001602,CBT ,00,001 ,  432837,  145960,  128366,  110239,  143874,  151093,  400073,  389698,   32764,   43139,  299849,  131712,  113810,   57337,   87675,  101168,  276724,  272315,   23125,   27534,  132988,   40436,   40744,   26714,   56199,   49925,  123349,  117383,    9639,   15605,    2266,    8490,   -7444,    1904,  -10458,    8410,     -64,    2870,    2330,    -604,  100.0,   33.7,   29.7,   25.5,   33.2,   34.9,   92.4,   90.0,    7.6,   10.0,  100.0,   43.9,   38.0,   19.1,   29.2,   33.7,   92.3,   90.8,    7.7,    9.2,  100.0,   30.4,   30.6,   20.1,   42.3,   37.5,   92.8,   88.3,    7.2,   11.7,    378,    126,    103,    110,     82,    114,    276,    270,    364,    125,    102,     68,     69,     98,    232,    232,    216,     63,     46,     45,     51,     89,    141,    158,    12.3,    10.6,    20.5,    19.6,    11.2,     9.6,    18.5,    16.7,    11.3,    14.7,    20.4,    24.4,    10.9,    13.3,    19.6,    22.3,    24.5,    18.7,    36.2,    30.4,    24.1,    17.2,    34.4,    24.7,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181211,2018-12-11,001602,CBT ,00,001 ,  430571,  137470,  135810,  108335,  154332,  142683,  400137,  386828,   30434,   43743,  306011,  120470,  119635,   63846,   99655,   93741,  283971,  277222,   22040,   28789,  124560,   40016,   39191,   21473,   54677,   48942,  116166,  109606,    8394,   14954,  -11115,    1243,   -2509,   -4008,   -6565,   -5402,   -9330,  -11919,   -1785,     804,  100.0,   31.9,   31.5,   25.2,   35.8,   33.1,   92.9,   89.8,    7.1,   10.2,  100.0,   39.4,   39.1,   20.9,   32.6,   30.6,   92.8,   90.6,    7.2,    9.4,  100.0,   32.1,   31.5,   17.2,   43.9,   39.3,   93.3,   88.0,    6.7,   12.0,    382,    122,    108,    114,     87,    118,    280,    281,    367,    128,    102,     71,     77,     98,    241,    235,    221,     60,     53,     45,     52,     89,    142,    162,    12.6,    11.4,    21.5,    20.0,    11.1,     9.2,    18.5,    16.2,    12.9,    14.2,    21.9,    23.7,    11.0,    12.2,    19.4,    21.0,    26.5,    16.2,    37.8,    28.5,    26.0,    15.2,    35.9,    24.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181204,2018-12-04,001602,CBT ,00,001 ,  441686,  136227,  138319,  112343,  160897,  148085,  409467,  398747,   32219,   42939,  316651,  120586,  121936,   67695,  104827,   98037,  293108,  287668,   23543,   28983,  125035,   40333,   41075,   19956,   56070,   50048,  116359,  111079,    8676,   13956,  -15522,    5500,   -7977,   -3660,  -12203,     839,  -10363,  -10798,   -5159,   -4724,  100.0,   30.8,   31.3,   25.4,   36.4,   33.5,   92.7,   90.3,    7.3,    9.7,  100.0,   38.1,   38.5,   21.4,   33.1,   31.0,   92.6,   90.8,    7.4,    9.2,  100.0,   32.3,   32.9,   16.0,   44.8,   40.0,   93.1,   88.8,    6.9,   11.2,    384,    128,    103,    118,     85,    115,    283,    279,    367,    132,     98,     74,     75,     97,    243,    233,    227,     62,     57,     42,     51,     89,    139,    167,    12.1,    11.1,    20.8,    19.7,    11.2,     8.7,    18.6,    15.6,    12.5,    13.8,    21.6,    23.5,    11.0,    12.0,    19.0,    20.6,    26.5,    15.9,    38.1,    28.0,    25.7,    14.8,    35.2,    23.6,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181127,2018-11-27,001602,CBT ,00,001 ,  457208,  130727,  146296,  116003,  173100,  147246,  419830,  409545,   37378,   47663,  329233,  122223,  131041,   67239,  110786,   97291,  300248,  295571,   28985,   33662,  127975,   40529,   47280,   16739,   62314,   49955,  119582,  113974,    8393,   14001,  -23751,  -26153,    -745,   -4613,    8533,  -19432,  -22233,  -24790,   -1518,    1039,  100.0,   28.6,   32.0,   25.4,   37.9,   32.2,   91.8,   89.6,    8.2,   10.4,  100.0,   37.1,   39.8,   20.4,   33.6,   29.6,   91.2,   89.8,    8.8,   10.2,  100.0,   31.7,   36.9,   13.1,   48.7,   39.0,   93.4,   89.1,    6.6,   10.9,    399,    128,    106,    127,    103,    120,    304,    296,    384,    132,     99,     90,     96,    102,    275,    251,    233,     59,     64,     40,     53,     92,    137,    175,    12.8,    10.7,    21.6,    19.2,    12.1,     8.9,    19.4,    15.7,    12.6,    13.3,    22.3,    23.0,    11.6,    12.2,    19.7,    20.1,    28.8,    18.4,    40.7,    31.2,    27.8,    18.3,    38.1,    28.2,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181120,2018-11-20,001602,CBT ,00,001 ,  480959,  156880,  147041,  120616,  164567,  166678,  442063,  434335,   38896,   46624,  353054,  148647,  132172,   73443,  100130,  114494,  322220,  320109,   30834,   32945,  127905,   38889,   45525,   16517,   64437,   52184,  119843,  114226,    8062,   13679,  -12855,   -1418,   10124,  -11576,   -2948,  -12400,  -15942,  -13852,    3087,     997,  100.0,   32.6,   30.6,   25.1,   34.2,   34.7,   91.9,   90.3,    8.1,    9.7,  100.0,   42.1,   37.4,   20.8,   28.4,   32.4,   91.3,   90.7,    8.7,    9.3,  100.0,   30.4,   35.6,   12.9,   50.4,   40.8,   93.7,   89.3,    6.3,   10.7,    414,    134,    117,    136,    104,    125,    317,    310,    400,    141,    105,    100,     95,    112,    287,    270,    228,     53,     64,     40,     48,     93,    125,    177,    12.4,    10.3,    20.2,    19.4,    10.7,     9.2,    17.1,    16.4,    10.7,    12.2,    19.3,    21.8,     9.5,    11.3,    16.2,    19.9,    29.8,    16.6,    42.4,    29.2,    28.9,    16.4,    40.2,    26.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181113,2018-11-13,001602,CBT ,00,001 ,  493814,  158298,  136917,  132192,  167515,  179078,  458005,  448187,   35809,   45627,  365194,  151709,  122002,   84785,  100844,  126352,  337338,  333139,   27856,   32055,  128620,   37398,   45724,   16598,   66671,   52726,  120667,  115048,    7953,   13572,  -54099,   -1052,  -12574,  -10110,  -39271,  -29972,  -50433,  -52656,   -3666,   -1443,  100.0,   32.1,   27.7,   26.8,   33.9,   36.3,   92.7,   90.8,    7.3,    9.2,  100.0,   41.5,   33.4,   23.2,   27.6,   34.6,   92.4,   91.2,    7.6,    8.8,  100.0,   29.1,   35.5,   12.9,   51.8,   41.0,   93.8,   89.4,    6.2,   10.6,    419,    138,    111,    139,    106,    131,    320,    318,    408,    147,    100,    103,     96,    120,    290,    282,    226,     48,     64,     39,     51,     96,    123,    179,    12.9,     9.9,    21.0,    18.3,     9.6,     8.5,    16.0,    15.5,    10.7,    11.3,    19.1,    20.4,     8.7,    10.7,    15.4,    18.3,    30.4,    17.0,    43.7,    30.8,    29.7,    17.0,    41.6,    28.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181106,2018-11-06,001602,CBT ,00,001 ,  547913,  159350,  149491,  142302,  206786,  209050,  508438,  500843,   39475,   47070,  424347,  151704,  133539,   99356,  142450,  157440,  393510,  390335,   30837,   34012,  123566,   33428,   41734,   17164,   64336,   51610,  114928,  110508,    8638,   13058,   -7031,   -1553,   -3643,    2462,   -6884,   -3227,   -5975,   -4408,   -1056,   -2623,  100.0,   29.1,   27.3,   26.0,   37.7,   38.2,   92.8,   91.4,    7.2,    8.6,  100.0,   35.7,   31.5,   23.4,   33.6,   37.1,   92.7,   92.0,    7.3,    8.0,  100.0,   27.1,   33.8,   13.9,   52.1,   41.8,   93.0,   89.4,    7.0,   10.6,    421,    133,    109,    142,    110,    126,    325,    315,    414,    139,    107,    120,    100,    112,    303,    286,    213,     45,     57,     37,     50,     94,    117,    169,    13.6,    10.1,    21.4,    17.7,     8.6,     7.9,    14.6,    14.1,    12.3,    11.5,    21.5,    19.6,     8.5,     9.0,    14.5,    15.7,    31.7,    17.3,    45.7,    31.4,    31.5,    17.1,    43.1,    27.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",181030,2018-10-30,001602,CBT ,00,001 ,  554944,  160903,  153134,  139840,  213670,  212277,  514413,  505251,   40531,   49693,  440866,  154310,  140548,   99952,  153481,  162982,  407743,  403482,   33123,   37384,  114078,   29855,   35848,   16626,   60189,   49295,  106670,  101769,    7408,   12309,   52094,    2689,   15248,   20630,   26044,   10647,   49363,   46525,    2731,    5569,  100.0,   29.0,   27.6,   25.2,   38.5,   38.3,   92.7,   91.0,    7.3,    9.0,  100.0,   35.0,   31.9,   22.7,   34.8,   37.0,   92.5,   91.5,    7.5,    8.5,  100.0,   26.2,   31.4,   14.6,   52.8,   43.2,   93.5,   89.2,    6.5,   10.8,    427,    137,    114,    144,    115,    126,    332,    321,    419,    141,    114,    123,    107,    112,    310,    294,    215,     45,     54,     36,     50,     95,    117,    170,    14.4,    10.5,    22.0,    18.0,     8.3,     7.8,    14.3,    13.4,    13.3,    12.1,    22.0,    19.8,     8.0,     8.4,    14.4,    14.6,    33.5,    18.1,    48.4,    31.3,    33.3,    18.0,    45.9,    27.2,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
